Pathway	Genes of pathway	Enzymes of pathway	Accession
palmitate biosynthesis II (bacteria and plant cytoplasm)	PP_4545 // PP_4379 // PP_2781 // PP_2779 // fabF // PP_3303 // fabB // PP_0581 // PP_2175 // PP_2503 // PP_2783 // fabG // PP_1852 // tesA // fabZ // fabA // fadD1 // fadD2 // PP_2038 // PP_4063 // PP_2709 // PP_3015 // PP_2213 // acs // PP_3724	beta-ketodecanoyl-ACP synthase // 3-oxoacyl-ACP synthase // beta-ketoacyl synthase // beta-ketoacyl-ACP synthase II // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // enoyl-ACP reductase // acyl-CoA thioesterase I/protease I/lysophospholipase L1 // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3R-3-hydroxydecanoyl-ACP dehydratase // long-chain-fatty acid--CoA ligase // long-chain-fatty acid--CoA ligase // long-chain-fatty-acid--CoA ligase // long-chain fatty acid--CoA ligase // long-chain fatty acid--CoA ligase // medium-chain acyl-CoA ligase domain-containing protein // acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase	PP_4545 // PP_4379 // PP_2781 // PP_2779 // PP_1916 // PP_3303 // PP_4175 // PP_0581 // PP_2175 // PP_2503 // PP_2783 // PP_1914 // PP_1852 // PP_2318 // PP_1602 // PP_4174 // PP_4549 // PP_4550 // PP_2038 // PP_4063 // PP_2709 // PP_3015 // PP_2213 // PP_3458 // PP_3724
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	PP_4635 // PP_1852 // fabA // fabZ // fabG // PP_2783 // PP_2503 // PP_2175 // PP_0581 // fabB // PP_3303 // fabF // PP_2781 // PP_2779 // tesA	trans-2-enoyl-CoA reductase // enoyl-ACP reductase // 3R-3-hydroxydecanoyl-ACP dehydratase // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3-oxoacyl-ACP reductase subunit // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // beta-ketoacyl-ACP synthase II // beta-ketoacyl synthase // acyl-CoA thioesterase I/protease I/lysophospholipase L1	PP_4635 // PP_1852 // PP_4174 // PP_1602 // PP_1914 // PP_2783 // PP_2503 // PP_2175 // PP_0581 // PP_4175 // PP_3303 // PP_1916 // PP_2781 // PP_2779 // PP_2318
palmitoleate biosynthesis II (plants and bacteria)	desA // tesA	delta-9 fatty acid desaturase // acyl-CoA thioesterase I/protease I/lysophospholipase L1	PP_0217 // PP_2318
paraoxon degradation	PP_5654	phosphotriesterase	PP_5654
parathion degradation	PP_5654	phosphotriesterase	PP_5654
pentose phosphate pathway	tal // tktA // rpe // rpiA // pgl // gntZ // zwf-3 // zwf-2 // zwf-1	transaldolase // transketolase A // ribulose-5-phosphate 3-epimerase // ribose-5-phosphate isomerase A // 6-phosphogluconolactonase // 6-phosphogluconate dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate-1-dehydrogenase	PP_2168 // PP_4965 // PP_0415 // PP_5150 // PP_1023 // PP_4043 // PP_5351 // PP_4042 // PP_1022
pentose phosphate pathway (non-oxidative branch)	tal // tktA // rpe // rpiA	transaldolase // transketolase A // ribulose-5-phosphate 3-epimerase // ribose-5-phosphate isomerase A	PP_2168 // PP_4965 // PP_0415 // PP_5150
pentose phosphate pathway (oxidative branch) I	pgl // gntZ // zwf-3 // zwf-2 // zwf-1	6-phosphogluconolactonase // 6-phosphogluconate dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate-1-dehydrogenase	PP_1023 // PP_4043 // PP_5351 // PP_4042 // PP_1022
peptidoglycan biosynthesis I (meso-diaminopimelate containing)	murG // mraY // murA // murB // murF // murC // murD // murI // murE // PP_5673 // ddlA // ddlB	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase // phospho-N-acetylmuramoyl-pentapeptide- transferase // UDP-N-acetylglucosamine 1-carboxyvinyltransferase // UDP-N-acetylenolpyruvoylglucosamine reductase // D-alanyl-D-alanine-adding enzyme // UDP-N-acetylmuramate--L-alanine ligase // UDP-N-acetylmuramoylalanine--D-glutamate ligase // glutamate racemase // UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase // D-alanine--D-alanine ligase // D-alanine--D-alanine ligase A // D-alanine--D-alanine ligase B	PP_1337 // PP_1334 // PP_0964 // PP_1904 // PP_1333 // PP_1338 // PP_1335 // PP_0736 // PP_1332 // PP_5673 // PP_4346 // PP_1339
peptidoglycan maturation (meso-diaminopimelate containing)	mrdA-II // mrcB // mrdA-I // pbpC // mtgA // dacA // ftsI // PP_4799 // PP_2320	transpeptidase // transglycosylase/transpeptidase // transpeptidase // peptidoglycan glycosyltransferase // monofunctional biosynthetic peptidoglycan transglycosylase // D-alanyl-D-alanine carboxypeptidase // peptidoglycan DD transpeptidase // muramoyltetrapeptide carboxypeptidase // hypothetical protein	PP_4807 // PP_4683 // PP_3741 // PP_0572 // PP_5107 // PP_4803 // PP_1331 // PP_4799 // PP_2320
periplasmic disulfide bond formation	dsbB // dsbA	protein thiol:quinone oxidoreductase DsbB // protein dithiol oxidoreductase (disulfide-forming)	PP_0809 // PP_0127
phenylacetate degradation I (aerobic)	pcaF-I // paaH // paaA // paaC // paaB // paaE // paaJ // paaG // paaZ // paaK // paaF	beta-ketoadipyl-CoA thiolase // 3-hydroxyacyl-CoA dehydrogenase PaaH // ring 1,2-phenylacetyl-CoA epoxidase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase // bifunctional oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase // phenylacetate-CoA ligase // enoyl-CoA hydratase/isomerase	PP_1377 // PP_3282 // PP_3278 // PP_3276 // PP_3277 // PP_3274 // PP_3280 // PP_3283 // PP_3270 // PP_3279 // PP_3284
phosphatidylcholine biosynthesis VI	pcs	phosphatidylcholine synthase	PP_0731
phosphatidylglycerol biosynthesis I (plastidic)	cdsA // gpsA // plsC // PP_0058 // plsB // plsY // pgsA // pgpA	CTP:phosphatidate cytidyltransferase // glycerol-3-phosphate dehydrogenase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase // phosphatidylglycerophosphatase A	PP_1596 // PP_4169 // PP_1844 // PP_0058 // PP_1520 // PP_0391 // PP_4097 // PP_0520
phosphatidylglycerol biosynthesis II (non-plastidic)	cdsA // plsC // PP_0058 // plsB // plsY // gpsA // pgsA // pgpA	CTP:phosphatidate cytidyltransferase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // glycerol-3-phosphate dehydrogenase // CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase // phosphatidylglycerophosphatase A	PP_1596 // PP_1844 // PP_0058 // PP_1520 // PP_0391 // PP_4169 // PP_4097 // PP_0520
phosphatidylserine and phosphatidylethanolamine biosynthesis I	pssA // PP_4677 // psd	CDP-diacylglycerol--serine O-phosphatidyltransferase // CDP-diacylglycerol--serine O-phosphatidyltransferase // phosphatidylserine decarboxylase	PP_3664 // PP_4677 // PP_4908
phosphopantothenate biosynthesis I	panC // PP_2998 // PP_2325 // panE // panB // coaX	pantothenate synthetase // 2-dehydropantoate 2-reductase // 2-dehydropantoate 2-reductase // 2-dehydropantoate 2-reductase // 3-methyl-2-oxobutanoate hydroxymethyltransferase // type III pantothenate kinase	PP_4700 // PP_2998 // PP_2325 // PP_1351 // PP_4699 // PP_0438
polyhydroxydecanoate biosynthesis	phaG // phaA // phaC2	(R)-3-hydroxydecanoyl-ACP:CoA transacylase // poly(R)-3-hydroxyalkanoate polymerase 1 // poly(R)-3-hydroxyalkanoate polymerase 2	PP_1408 // PP_5003 // PP_5005
ppGpp biosynthesis	ppx // relA // spoT // ndk	exopolyphosphatase // ATP:GTP 3'-pyrophosphotransferase // bifunctional (p)ppGpp synthase/hydrolase // nucleoside diphosphate kinase	PP_5216 // PP_1656 // PP_5302 // PP_0849
preQ0 biosynthesis	folEB // folEA-II // folEA-I // queD // queE // queC	GTP cyclohydrolase I // GTP cyclohydrolase I // GTP cyclohydrolase I // 6-carboxytetrahydropterin synthase QueD // 7-carboxy-7-deazaguanine synthase // pre-queuosine 0 synthase	PP_3324 // PP_2512 // PP_1823 // PP_2341 // PP_1225 // PP_1226
proline betaine degradation	stcD	N-methylproline demethylase	PP_4753
proline to cytochrome bo oxidase electron transfer	cyoA // cyoB // cyoC // cyoD // putA	cytochrome <i>bo<sub>3</sub></i> terminal oxidase // proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	PP_0812 // PP_0813 // PP_0814 // PP_0815 // PP_4947
propanoyl-CoA degradation II	PP_1412 // betA-I // mmsA-II // mmsA-I	3-hydroxyisobutyryl-CoA hydrolase // choline dehydrogenase // methylmalonate-semialdehyde dehydrogenase // methylmalonate-semialdehyde dehydrogenase	PP_1412 // PP_0056 // PP_4667 // PP_0597
protein S-nitrosylation and denitrosylation	frmA	glutathione-dependent formaldehyde dehydrogenase	PP_1616
protocatechuate degradation II (ortho-cleavage pathway)	pcaH // pcaG // pcaB // pcaD // pcaC	protocatechuate 3,4-dioxygenase // 3-carboxy-cis,cis-muconate cycloisomerase // 3-oxoadipate enol-lactonase // 4-carboxymuconolactone decarboxylase	PP_4656 // PP_4655 // PP_1379 // PP_1380 // PP_1381
PRPP biosynthesis	prs // PP_2744	ribose-phosphate pyrophosphokinase // ribose-phosphate pyrophosphokinase family protein	PP_0722 // PP_2744
purine deoxyribonucleosides salvage	gmk // PP_1964 // ndk	deoxyguanylate kinase/guanylate kinase // dGMP/dTMP/dhydroxyCMP kinase // nucleoside diphosphate kinase	PP_5296 // PP_1964 // PP_0849
purine nucleotides degradation II (aerobic)	PP_0591 // guaD // ppnP // guaB // PP_2531 // PP_0094 // yrfG // ushA // surE // PP_3254 // xdhC // xdhA // xdhB // PP_4234	adenosine deaminase // guanine deaminase // Pyrimidine/purine nucleoside phosphorylase // IMP dehydrogenase and single strand DNA binding factor // 5-nucleotidase // 5'-nucleotidase // purine nucleotidase // 5'-nucleotidase/2',3'-cyclic phosphodiesterase // 5'-nucleotidase SurE // nucleosidase // xanthine dehydrogenase // bifunctional aldehyde oxidase/xanthine dehydrogenase	PP_0591 // PP_4281 // PP_4248 // PP_1031 // PP_2531 // PP_0094 // PP_0259 // PP_1414 // PP_1620 // PP_3254 // PP_4280 // PP_4278 // PP_4279 // PP_4234
purine ribonucleosides degradation	PP_3254 // PP_0591 // ppnP	nucleosidase // adenosine deaminase // Pyrimidine/purine nucleoside phosphorylase	PP_3254 // PP_0591 // PP_4248
putrescine biosynthesis I	speA // speB // PP_4523	biosynthetic arginine decarboxylase // agmatinase // agmatinase	PP_0567 // PP_2196 // PP_4523
putrescine biosynthesis II	speA // aguA	biosynthetic arginine decarboxylase // agmatine deiminase	PP_0567 // PP_0266
putrescine biosynthesis III	speC // PP_4523	ornithine decarboxylase // agmatinase	PP_0864 // PP_4523
putrescine degradation I	prr // patD	gamma-aminobutyraldehyde dehydrogenase // medium chain aldehyde dehydrogenase	PP_2801 // PP_1481
putrescine degradation II	PP_3598 // spuA // kauB // puuB // puuA-II // puuA-I	"peptidase C26 // &gamma;-glutamyl-&gamma;-aminobutyrate hydrolase // 4-guanidinobutyraldehyde dehydrogenase // gamma-glutamylputrescine oxidase // glutamate-putrescine ligase // glutamate-putrescine ligase"	PP_3598 // PP_2179 // PP_5278 // PP_2448 // PP_5299 // PP_2178
pyoverdine G4R biosynthesis	pvdH // PP_2800 // pvdA // pvdO // pvdP // pvdQ // pvdE // pvdL // pvdJ // pvdD // pvdI // pvdT // pvdR // ompQ // ompB // mdtC // mdtB // mdtA	diaminobutyrate-2-oxoglutarate transaminase // diaminobutyrate-2-oxoglutarate transaminase // L-ornithine 5-monooxygenase // dihydropyoverdine dehydrogenase // ferribactin monooxygenase // myristoylated ferribactin deacylase // ABC-type myristoylated ferribactin transporter // non-ribosomal peptide synthetase PvdL // non-ribosomal peptide synthetase PvdJ // non-ribosomal peptide synthetase PvdD // non-ribosomal peptide synthetase PvdI // ABC-type pyoverdine exporter PvdRT-OmpQ // MdtABC-OpmB pyoverdine efflux system	PP_4223 // PP_2800 // PP_3796 // PP_4215 // PP_4212 // PP_2901 // PP_4216 // PP_4243 // PP_4220 // PP_4219 // PP_4221 // PP_4210 // PP_4209 // PP_4211 // PP_3582 // PP_3583 // PP_3584 // PP_3585
pyridoxal 5'-phosphate biosynthesis I	pdxH // epd // dxs // pdxJ // pdxB // serC // pdxA	pyridoxine/pyridoxamine 5'-phosphate oxidase // D-erythrose 4-phosphate dehydrogenase // 1-deoxyxylulose-5-phosphate synthase // pyridoxine 5'-phosphate synthase // erythronate-4-phosphate dehydrogenase // 3-phosphoserine/phosphohydroxythreonine aminotransferase // 4-hydroxythreonine-4-phosphate dehydrogenase	PP_1129 // PP_4964 // PP_0527 // PP_1436 // PP_2117 // PP_1768 // PP_0402
pyridoxal 5'-phosphate salvage I	pdxH // pdxY	pyridoxine/pyridoxamine 5'-phosphate oxidase // pyridoxamine kinase	PP_1129 // PP_5357
pyrimidine deoxyribonucleotide phosphorylation	gmk // PP_3363 // PP_1964 // cmk // ndk	deoxyguanylate kinase/guanylate kinase // thymidylate kinase // dGMP/dTMP/dhydroxyCMP kinase // cytidylate kinase // nucleoside diphosphate kinase	PP_5296 // PP_3363 // PP_1964 // PP_1771 // PP_0849
pyrimidine deoxyribonucleotides de novo biosynthesis I	mazG // rdgB // dut // gmk // PP_3363 // PP_1964 // ndk // nrdA // nrdB // thyA	modified nucleoside triphosphate pyrophosphohydrolase // dITP/XTP pyrophosphatase // deoxyuridine 5'-triphosphate nucleotidohydrolase // deoxyguanylate kinase/guanylate kinase // thymidylate kinase // dGMP/dTMP/dhydroxyCMP kinase // nucleoside diphosphate kinase // ribonucleoside-diphosphate reductase // thymidylate synthase	PP_1657 // PP_5100 // PP_5286 // PP_5296 // PP_3363 // PP_1964 // PP_0849 // PP_1179 // PP_1177 // PP_5141
pyrimidine deoxyribonucleotides dephosphorylation	mazG // rdgB // dut	modified nucleoside triphosphate pyrophosphohydrolase // dITP/XTP pyrophosphatase // deoxyuridine 5'-triphosphate nucleotidohydrolase	PP_1657 // PP_5100 // PP_5286
pyrimidine nucleobases salvage I	pyrR // upp	pyrimidine operon regulatory protein/uracil phosphoribosyltransferase // uracil phosphoribosyltransferase	PP_4997 // PP_0746
pyrimidine nucleobases salvage II	codA // pyrR // upp	cytosine deaminase/isoguanine deaminase // pyrimidine operon regulatory protein/uracil phosphoribosyltransferase // uracil phosphoribosyltransferase	PP_3189 // PP_4997 // PP_0746
pyrimidine ribonucleosides salvage II	Nuh	ribonucleoside hydrolase	PP_2460
pyrimidine ribonucleosides salvage III	Nuh // codA	ribonucleoside hydrolase // cytosine deaminase/isoguanine deaminase	PP_2460 // PP_3189
pyrroloquinoline quinone biosynthesis	pqqE // pqqF // pqqC	coenzyme PQQ synthesis protein E // coenzyme PQQ synthesis protein F // pyrroloquinoline-quinone synthase	PP_0376 // PP_0381 // PP_0378
pyruvate decarboxylation to acetyl CoA	aceF // lpdG // lpd // aceE	pyruvate dehydrogenase E2 component // lipoamide dehydrogenase lpdG dimer // dihydrolipoyl dehydrogenase // pyruvate dehydrogenase	PP_0338 // PP_4187 // PP_5366 // PP_0339
queuosine biosynthesis	queF // tgt // queA // queG	NADPH-dependent 7-cyano-7-deazaguanine reductase // queuine tRNA-ribosyltransferase // S-adenosylmethionine:tRNA ribosyltransferase-isomerase // epoxyqueuosine reductase	PP_2160 // PP_0833 // PP_0832 // PP_4900
quinate degradation I	quiA // quiC // aroQ-III // aroQ-II // aroQ-I	quinate dehydrogenase // 3-dehydroshikimate dehydratase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase	PP_3569 // PP_2554 // PP_3003 // PP_2407 // PP_0560
reactive oxygen species degradation	PP_0777 // PP_1686 // sodA // sodB // katG // katA // katE	glutathione peroxidase // glutathione peroxidase // superoxide dismutase // catalase-peroxidase // catalase // hydroperoxidase	PP_0777 // PP_1686 // PP_0946 // PP_0915 // PP_3668 // PP_0481 // PP_0115
ribose phosphorylation	rbsK // rbsD	ribokinase // ribose pyranase	PP_2458 // PP_2459
S-adenosyl-L-methionine biosynthesis	metK	methionine adenosyltransferase	PP_4967
selenate reduction	cysNC // cysD	sulfate adenylyltransferase	PP_1304 // PP_1303
shikimate degradation I	quiA // quiC	quinate dehydrogenase // 3-dehydroshikimate dehydratase	PP_3569 // PP_2554
siroheme biosynthesis	cysG // cobA	multifunctional uroporphyrinogen-III C-methyltransferase/precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase // uroporphyrinogen-III C-methyltransferase	PP_3999 // PP_2090
stearate biosynthesis II (bacteria and plants)	fabB // fabF // PP_2781 // PP_2779 // PP_0581 // PP_2175 // PP_2503 // PP_2783 // fabG // fabZ // fabA // PP_1852 // PP_4635 // tesA // fadD1 // fadD2 // PP_2038 // PP_4063 // PP_2709 // PP_2213 // acs // PP_3724	3-oxoacyl-ACP synthase // beta-ketoacyl-ACP synthase II // beta-ketoacyl synthase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3R-3-hydroxydecanoyl-ACP dehydratase // enoyl-ACP reductase // trans-2-enoyl-CoA reductase // acyl-CoA thioesterase I/protease I/lysophospholipase L1 // long-chain-fatty acid--CoA ligase // long-chain-fatty acid--CoA ligase // long-chain-fatty-acid--CoA ligase // long-chain fatty acid--CoA ligase // long-chain fatty acid--CoA ligase // acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase	PP_4175 // PP_1916 // PP_2781 // PP_2779 // PP_0581 // PP_2175 // PP_2503 // PP_2783 // PP_1914 // PP_1602 // PP_4174 // PP_1852 // PP_4635 // PP_2318 // PP_4549 // PP_4550 // PP_2038 // PP_4063 // PP_2709 // PP_2213 // PP_3458 // PP_3724
succinate to cytochrome bd oxidase electron transfer	sdhC // sdhA // sdhB // sdhD // PP_3338	succinate dehydrogenase // cytochrome bd-type quinol oxidase	PP_4193 // PP_4191 // PP_4190 // PP_4192 // PP_3338
succinate to cytochrome bo oxidase electron transfer	cyoA // cyoB // cyoC // cyoD // sdhC // sdhA // sdhB // sdhD	cytochrome <i>bo<sub>3</sub></i> terminal oxidase // succinate dehydrogenase	PP_0812 // PP_0813 // PP_0814 // PP_0815 // PP_4193 // PP_4191 // PP_4190 // PP_4192
sulfate activation for sulfonation	cysD // cysNC	sulfate adenylyltransferase // sulfate adenylyltransferase subunit 1/adenylyl-sulfate kinase	PP_1303 // PP_1304
superoxide radicals degradation	sodA // sodB // katG // katA // katE	superoxide dismutase // catalase-peroxidase // catalase // hydroperoxidase	PP_0946 // PP_0915 // PP_3668 // PP_0481 // PP_0115
superpathay of heme b biosynthesis from glutamate	hemD // hemC // hemBB // hemB // hemL // hemA // gltX // hemE // hemJ // hemH // hemF // PP_t26 // PP_t28 // PP_t20 // PP_t30 // PP_t22	uroporphyrinogen-III synthase // porphobilinogen deaminase // porphobilinogen synthase // 5-aminolevulinate dehydratase // glutamate-1-semialdehyde 2,1-aminomutase // glutamyl-tRNA reductase // glutamate--tRNA ligase // uroporphyrinogen decarboxylase // protoporphyrinogen oxidase // ferrochelatase // coproporphyrinogen-III oxidase	PP_0187 // PP_0186 // PP_3322 // PP_2913 // PP_4784 // PP_0732 // PP_1977 // PP_5074 // PP_0431 // PP_0744 // PP_0073 // PP_t26 // PP_t28 // PP_t20 // PP_t30 // PP_t22
superpathway of 4-aminobutanoate degradation	sad-II // sad-I // gabD-II	NAD+-dependent succinate semialdehyde dehydrogenase // NAD+-dependent succinate semialdehyde dehydrogenase // succinate-semialdehyde dehydrogenase	PP_3151 // PP_2488 // PP_4422
superpathway of 5-aminoimidazole ribonucleotide biosynthesis	purN // purF // purD // purL // purM // purT	phosphoribosylglycinamide formyltransferase // amidophosphoribosyl transferase // phosphoribosylamine--glycine ligase // phosphoribosylformylglycinamidine synthase // phosphoribosylformylglycinamidine cyclo-ligase // phosphoribosylglycinamide formyltransferase	PP_1664 // PP_2000 // PP_4823 // PP_1037 // PP_1665 // PP_1457
superpathway of acetate utilization and formation	acsA-II // acsA-I // purT // maeB // pta	acetyl-CoA synthetase // acyl-CoA synthetase // phosphoribosylglycinamide formyltransferase // malic enzyme B // phosphate acetyltransferase	PP_4702 // PP_4487 // PP_1457 // PP_5085 // PP_0774
superpathway of adenosine nucleotides de novo biosynthesis I	purA // purB // adk // nrdA // nrdB // ndk	adenylosuccinate synthetase // adenylosuccinate lyase // adenylate kinase // ribonucleoside-diphosphate reductase // nucleoside diphosphate kinase	PP_4889 // PP_4016 // PP_1506 // PP_1179 // PP_1177 // PP_0849
superpathway of adenosylcobalamin salvage from cobinamide I	cobS // PP_1680 // cobU // cobP	adenosylcobinamide-GDP ribazoletransferase // alpha-ribazole-5'-phosphate phosphatase // nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase // adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase	PP_1681 // PP_1680 // PP_1679 // PP_1678
superpathway of aromatic compounds degradation (P. putida)	fumC2 // fumC1 // sucD // sucC // sucA // lpdG // sucB // gltA // acnB // acnA2 // acnA1 // mqo3 // mqo2 // mqo1 // idh // icd // mdh // sdhC // sdhA // sdhB // sdhD // hpd // hmgA // hmgC // hmgB // tyrB // PP_4692 // paaH // paaA // paaC // paaB // paaE // paaG // paaZ // paaK // paaF // phhA // benD // benC // benB // benA // catA1 // catA2 // catB // catC // pobA // pcaH // pcaG // pcaB // pcaD // pcaC // quiA // quiC // aroQ-III // aroQ-II // aroQ-I // vdh // vanB // vanA // pcaJ // pcaI // paaJ // pcaF-I // fcs // ech // calA // calB // peaE	class 2 fumarate hydratase // class 2 fumarate hydratase // succinyl-CoA synthetase // 2-oxoglutarate dehydrogenase system // citrate synthase // aconitate hydratase B // aconitate hydratase // aconitate hydratase // malate:quinone oxidoreductase // malate:quinone oxidoreductase // malate:quinone oxidoreductase // NADP(+)-specific isocitrate dehydrogenase // malate dehydrogenase // succinate dehydrogenase // 4-hydroxyphenylpyruvate dioxygenase // homogentisate 1,2-dioxygenase // maleylacetoacetate isomerase // fumarylacetoacetase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase // 3-hydroxyacyl-CoA dehydrogenase PaaH // ring 1,2-phenylacetyl-CoA epoxidase // 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase // bifunctional oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase // phenylacetate-CoA ligase // enoyl-CoA hydratase/isomerase // phenylalanine-4-hydroxylase // 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase // benzoate 1,2-dioxygenase // catechol 1,2-dioxygenase // catechol 1,2-dioxygenase // muconate cycloisomerase 1 // muconolactone delta-isomerase // 4-hydroxybenzoate 3-monooxygenase // protocatechuate 3,4-dioxygenase // 3-carboxy-cis,cis-muconate cycloisomerase // 3-oxoadipate enol-lactonase // 4-carboxymuconolactone decarboxylase // quinate dehydrogenase // 3-dehydroshikimate dehydratase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase // vanillin dehydrogenase // vanillate monooxygenase // 3-oxoadipate CoA-transferase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // beta-ketoadipyl-CoA thiolase // feruloyl-CoA-synthase // feruloyl-CoA hydratase-lyase // coniferyl alcohol dehydrogenase // coniferyl aldehyde dehydrogenase // phenylacetaldehyde dehydrogenase	PP_1755 // PP_0944 // PP_4185 // PP_4186 // PP_4189 // PP_4187 // PP_4188 // PP_4194 // PP_2339 // PP_2336 // PP_2112 // PP_2925 // PP_1251 // PP_0751 // PP_4012 // PP_4011 // PP_0654 // PP_4193 // PP_4191 // PP_4190 // PP_4192 // PP_3433 // PP_4621 // PP_4619 // PP_4620 // PP_1972 // PP_4692 // PP_3282 // PP_3278 // PP_3276 // PP_3277 // PP_3274 // PP_3283 // PP_3270 // PP_3279 // PP_3284 // PP_4490 // PP_3164 // PP_3163 // PP_3162 // PP_3161 // PP_3713 // PP_3166 // PP_3715 // PP_3714 // PP_3537 // PP_4656 // PP_4655 // PP_1379 // PP_1380 // PP_1381 // PP_3569 // PP_2554 // PP_3003 // PP_2407 // PP_0560 // PP_3357 // PP_3737 // PP_3736 // PP_3952 // PP_3951 // PP_3280 // PP_1377 // PP_3356 // PP_3358 // PP_3839 // PP_5120 // PP_3463
superpathway of branched chain amino acid biosynthesis	leuB // leuA // leuD // leuC // ilvD // ilvE // ilvC // ilvI // ilvH // PP_3365 // PP_1394 // PP_1157 // ilvA-II // PP_4430 // ilvA-I // PP_3191	3-isopropylmalate dehydrogenase // 2-isopropylmalate synthase // 3-isopropylmalate dehydratase // dihydroxy-acid dehydratase // branched-chain-amino acid aminotransferase // ketol-acid reductoisomerase // acetolactate synthase // acetolactate synthase // acetolactate synthase large subunit // acetolactate synthase // threonine deaminase // threonine dehydratase // threonine deaminase // threonine ammonia-lyase/dehydratase	PP_1988 // PP_1025 // PP_1986 // PP_1985 // PP_5128 // PP_3511 // PP_4678 // PP_4680 // PP_4679 // PP_3365 // PP_1394 // PP_1157 // PP_5149 // PP_4430 // PP_3446 // PP_3191
superpathway of glycol metabolism and degradation	gcl // glxR // garK // eno // pykF // pykA // glcB // aldB-I // aldA // yqhD // pedI // pedE // pedH	glyoxylate carboligase // 2-hydroxy-3-oxopropionate reductase // glycerate kinase // enolase // pyruvate kinase // pyruvate kinase II // malate synthase G // aldehyde dehydrogenase // aldehyde dehydrogenase // NAD(P)-dependent alcohol dehydrogenase // aldehyde dehydrogenase // Ca<sup>2+</sup>-dependent quinoprotein alcohol dehydrogenase // lanthanide-dependent quinoprotein ethanol dehydrogenase	PP_4297 // PP_4299 // PP_3178 // PP_1612 // PP_4301 // PP_1362 // PP_0356 // PP_0545 // PP_2487 // PP_2492 // PP_2680 // PP_2674 // PP_2679
superpathway of guanosine nucleotides de novo biosynthesis I	guaB // guaA // gmk // nrdA // nrdB // ndk	IMP dehydrogenase and single strand DNA binding factor // glutamine-hydrolyzing GMP synthase // deoxyguanylate kinase/guanylate kinase // ribonucleoside-diphosphate reductase // nucleoside diphosphate kinase	PP_1031 // PP_1032 // PP_5296 // PP_1179 // PP_1177 // PP_0849
superpathway of L-alanine biosynthesis	iscS-II // csdA // iscS-I // alaA // alaC	cysteine desulfurase // cysteine desulfurase // cysteine desulfurase // glutamate-pyruvate aminotransferase // alanine transaminase	PP_2435 // PP_1529 // PP_0842 // PP_1872 // PP_0817
